Week Ending,Price
2008 Aug 08,8.71
2008 Aug 15,8.10
2008 Aug 22,7.90
2008 Aug 29,8.16
2008 Sep 05,7.54
2008 Sep 12,7.69
2008 Sep 19,7.91
2008 Sep 26,7.74
2008 Oct 03,7.30
2008 Oct 10,6.68
2008 Oct 17,6.68
2008 Oct 24,6.75
2008 Oct 31,6.44
2008 Nov 07,6.76
2008 Nov 14,6.68
2008 Nov 21,6.67
2008 Nov 28,6.61
2008 Dec 05,6.44
2008 Dec 12,5.68
2008 Dec 19,5.72
2008 Dec 26,5.41
2009 Jan 02,5.64
2009 Jan 09,5.88
2009 Jan 16,5.42
2009 Jan 23,4.80
2009 Jan 30,4.74
2009 Feb 06,4.81
2009 Feb 13,4.72
2009 Feb 20,4.34
2009 Feb 27,4.15
2009 Mar 06,4.23
2009 Mar 13,3.89
2009 Mar 20,3.80
2009 Mar 27,4.06
2009 Apr 03,3.62
2009 Apr 10,3.61
2009 Apr 17,3.53
2009 Apr 24,3.45
2009 May 01,3.29
2009 May 08,3.78
2009 May 15,4.24
2009 May 22,3.79
2009 May 29,3.58
2009 Jun 05,3.76
2009 Jun 12,3.53
2009 Jun 19,4.04
2009 Jun 26,3.87
2009 Jul 03,3.68
2009 Jul 10,3.27
2009 Jul 17,3.29
2009 Jul 24,3.50
2009 Jul 31,3.41
2009 Aug 07,3.58
2009 Aug 14,3.39
2009 Aug 21,3.01
2009 Aug 28,2.72
2009 Sep 04,2.18
2009 Sep 11,2.69
2009 Sep 18,3.21
2009 Sep 25,3.46
2009 Oct 02,3.06
2009 Oct 09,3.60
2009 Oct 16,3.93
2009 Oct 23,4.70
2009 Oct 30,4.37
2009 Nov 06,4.28
2009 Nov 13,3.38
2009 Nov 20,3.30
2009 Nov 27,3.52
2009 Dec 04,4.50
2009 Dec 11,5.08
2009 Dec 18,5.61
2009 Dec 25,5.66
2010 Jan 01,5.88
2010 Jan 08,6.56
2010 Jan 15,5.68
2010 Jan 22,5.56
2010 Jan 29,5.47
2010 Feb 05,5.47
2010 Feb 12,5.55
2010 Feb 19,5.41
2010 Feb 26,4.87
2010 Mar 05,4.74
2010 Mar 12,4.45
2010 Mar 19,4.23
2010 Mar 26,4.01
2010 Apr 02,3.82
2010 Apr 09,4.00
2010 Apr 16,4.06
2010 Apr 23,3.99
2010 Apr 30,4.16
2010 May 07,3.94
2010 May 14,4.19
2010 May 21,4.26
2010 May 28,4.18
2010 Jun 04,4.44
2010 Jun 11,4.73
2010 Jun 18,5.10
2010 Jun 25,4.93
2010 Jul 02,4.66
2010 Jul 09,4.65
2010 Jul 16,4.48
2010 Jul 23,4.64
2010 Jul 30,4.75
2010 Aug 06,4.80
2010 Aug 13,4.42
2010 Aug 20,4.30
2010 Aug 27,3.96
2010 Sep 03,3.76
2010 Sep 10,3.80
2010 Sep 17,4.01
2010 Sep 24,4.01
2010 Oct 01,3.79
2010 Oct 08,3.52
2010 Oct 15,3.49
2010 Oct 22,3.37
2010 Oct 29,3.31
2010 Nov 05,3.39
2010 Nov 12,3.70
2010 Nov 19,3.73
2010 Nov 26,3.90
2010 Dec 03,4.20
2010 Dec 10,4.46
2010 Dec 17,4.26
2010 Dec 24,4.09
2010 Dec 31,4.16
2011 Jan 07,4.52
2011 Jan 14,4.46
2011 Jan 21,4.57
2011 Jan 28,4.45
2011 Feb 04,4.51
2011 Feb 11,4.17
2011 Feb 18,3.90
2011 Feb 25,3.84
2011 Mar 04,3.82
2011 Mar 11,3.80
2011 Mar 18,3.88
2011 Mar 25,4.12
2011 Apr 01,4.30
2011 Apr 08,4.15
2011 Apr 15,4.12
2011 Apr 22,4.27
2011 Apr 29,4.39
2011 May 06,4.50
2011 May 13,4.18
2011 May 20,4.15
2011 May 27,4.35
2011 Jun 03,4.65
2011 Jun 10,4.83
2011 Jun 17,4.56
2011 Jun 24,4.33
2011 Jul 01,4.32
2011 Jul 08,4.30
2011 Jul 15,4.41
2011 Jul 22,4.58
2011 Jul 29,4.40
2011 Aug 05,4.21
2011 Aug 12,4.08
2011 Aug 19,4.01
2011 Aug 26,4.01
2011 Sep 02,4.01
2011 Sep 09,3.96
2011 Sep 16,3.95
2011 Sep 23,3.77
2011 Sep 30,3.81
2011 Oct 07,3.53
2011 Oct 14,3.48
2011 Oct 21,3.62
2011 Oct 28,3.62
2011 Nov 04,3.47
2011 Nov 11,3.42
2011 Nov 18,3.10
2011 Nov 25,2.92
2011 Dec 02,3.37
2011 Dec 09,3.39
2011 Dec 16,3.08
2011 Dec 23,3.04
2011 Dec 30,3.04
2012 Jan 06,2.92
2012 Jan 13,2.81
2012 Jan 20,2.40
2012 Jan 27,2.57
2012 Feb 03,2.45
2012 Feb 10,2.51
2012 Feb 17,2.52
2012 Feb 24,2.63
2012 Mar 02,2.45
2012 Mar 09,2.26
2012 Mar 16,2.11
2012 Mar 23,2.16
2012 Mar 30,2.06
2012 Apr 06,1.97
2012 Apr 13,1.93
2012 Apr 20,1.86
2012 Apr 27,2.00
2012 May 04,2.26
2012 May 11,2.33
2012 May 18,2.49
2012 May 25,2.59
2012 Jun 01,2.37
2012 Jun 08,2.33
2012 Jun 15,2.24
2012 Jun 22,2.52
2012 Jun 29,2.76
2012 Jul 06,2.84
2012 Jul 13,2.82
2012 Jul 20,2.92
2012 Jul 27,3.13
2012 Aug 03,3.12
2012 Aug 10,2.92
2012 Aug 17,2.77
2012 Aug 24,2.79
2012 Aug 31,2.72
2012 Sep 07,2.82
2012 Sep 14,2.88
2012 Sep 21,2.76
2012 Sep 28,2.93
2012 Oct 05,3.22
2012 Oct 12,3.26
2012 Oct 19,3.31
2012 Oct 26,3.41
2012 Nov 02,3.44
2012 Nov 09,3.40
2012 Nov 16,3.54
2012 Nov 23,3.61
2012 Nov 30,3.66
2012 Dec 07,3.41
2012 Dec 14,3.30
2012 Dec 21,3.30
2012 Dec 28,3.34
2013 Jan 04,3.28
2013 Jan 11,3.18
2013 Jan 18,3.44
2013 Jan 25,3.54
2013 Feb 01,3.26
2013 Feb 08,3.33
2013 Feb 15,3.26
2013 Feb 22,3.28
2013 Mar 01,3.48
2013 Mar 08,3.57
2013 Mar 15,3.74
2013 Mar 22,3.99
2013 Mar 29,4.05
2013 Apr 05,3.99
2013 Apr 12,4.13
2013 Apr 19,4.25
2013 Apr 26,4.24
2013 May 03,4.23
2013 May 10,3.89
2013 May 17,3.95
2013 May 24,4.14
2013 May 31,4.12
2013 Jun 07,3.94
2013 Jun 14,3.77
2013 Jun 21,3.87
2013 Jun 28,3.72
2013 Jul 05,3.54
2013 Jul 12,3.66
2013 Jul 19,3.69
2013 Jul 26,3.67
2013 Aug 02,3.45
2013 Aug 09,3.32
2013 Aug 16,3.35
2013 Aug 23,3.49
2013 Aug 30,3.55
2013 Sep 06,3.64
2013 Sep 13,3.61
2013 Sep 20,3.71
2013 Sep 27,3.55
2013 Oct 04,3.56
2013 Oct 11,3.70
2013 Oct 18,3.79
2013 Oct 25,3.69
2013 Nov 01,3.55
2013 Nov 08,3.47
2013 Nov 15,3.62
2013 Nov 22,3.68
2013 Nov 29,3.87
2013 Dec 06,3.94
2013 Dec 13,4.31
2013 Dec 20,4.25
2013 Dec 27,4.45
2014 Jan 03,4.36
2014 Jan 10,4.31
2014 Jan 17,4.39
2014 Jan 24,5.08
2014 Jan 31,5.29
2014 Feb 07,6.35
2014 Feb 14,6.55
2014 Feb 21,6.00
2014 Feb 28,5.10
2014 Mar 07,6.24
2014 Mar 14,4.58
2014 Mar 21,4.43
2014 Mar 28,4.46
2014 Apr 04,4.45
2014 Apr 11,4.63
2014 Apr 18,4.65
2014 Apr 25,4.80
2014 May 02,4.76
2014 May 09,4.74
2014 May 16,4.46
2014 May 23,4.52
2014 May 30,4.52
2014 Jun 06,4.61
2014 Jun 13,4.61
2014 Jun 20,4.66
2014 Jun 27,4.52
2014 Jul 04,4.41
2014 Jul 11,4.19
2014 Jul 18,4.11
2014 Jul 25,3.84
2014 Aug 01,3.79
2014 Aug 08,3.92
2014 Aug 15,3.90
2014 Aug 22,3.85
2014 Aug 29,4.01
2014 Sep 05,3.93
2014 Sep 12,3.91
2014 Sep 19,3.95
2014 Sep 26,3.88
2014 Oct 03,4.02
2014 Oct 10,3.87
2014 Oct 17,3.82
2014 Oct 24,3.63
2014 Oct 31,3.65
2014 Nov 07,3.83
2014 Nov 14,4.16
2014 Nov 21,4.34
2014 Nov 28,4.16
2014 Dec 05,3.75
2014 Dec 12,3.66
2014 Dec 19,3.69
2014 Dec 26,2.94
2015 Jan 02,3.09
2015 Jan 09,3.03
2015 Jan 16,3.08
2015 Jan 23,2.95
2015 Jan 30,2.91
2015 Feb 06,2.72
2015 Feb 13,2.75
2015 Feb 20,2.90
2015 Feb 27,3.13
2015 Mar 06,3.04
2015 Mar 13,2.76
2015 Mar 20,2.80
2015 Mar 27,2.79
2015 Apr 03,2.64
2015 Apr 10,2.67
2015 Apr 17,2.61
2015 Apr 24,2.60
2015 May 01,2.57
2015 May 08,2.75
2015 May 15,2.88
2015 May 22,2.99
2015 May 29,2.80
2015 Jun 05,2.65
2015 Jun 12,2.78
2015 Jun 19,2.90
2015 Jun 26,2.80
2015 Jul 03,2.79
2015 Jul 10,2.75
2015 Jul 17,2.89
2015 Jul 24,2.88
2015 Jul 31,2.87
2015 Aug 07,2.80
2015 Aug 14,2.88
2015 Aug 21,2.75
2015 Aug 28,2.69
2015 Sep 04,2.69
2015 Sep 11,2.70
2015 Sep 18,2.70
2015 Sep 25,2.61
2015 Oct 02,2.49
2015 Oct 09,2.38
2015 Oct 16,2.48
2015 Oct 23,2.38
2015 Oct 30,2.12
2015 Nov 06,2.02
2015 Nov 13,2.11
2015 Nov 20,2.09
2015 Nov 27,2.15
2015 Dec 04,2.13
2015 Dec 11,1.96
2015 Dec 18,1.72
2015 Dec 25,1.68
2016 Jan 01,2.27
2016 Jan 08,2.38
2016 Jan 15,2.32
2016 Jan 22,2.20
2016 Jan 29,2.22
2016 Feb 05,2.11
2016 Feb 12,2.16
2016 Feb 19,1.94
2016 Feb 26,1.82
2016 Mar 04,1.57
2016 Mar 11,1.64
2016 Mar 18,1.79
2016 Mar 25,1.79
2016 Apr 01,1.86
2016 Apr 08,1.96
2016 Apr 15,1.90
2016 Apr 22,1.91
2016 Apr 29,1.92
2016 May 06,1.96
2016 May 13,2.00
2016 May 20,1.89
2016 May 27,1.84
2016 Jun 03,2.15
2016 Jun 10,2.36
2016 Jun 17,2.59
2016 Jun 24,2.75
2016 Jul 01,2.89
2016 Jul 08,2.82
2016 Jul 15,2.81
2016 Jul 22,2.79
2016 Jul 29,2.85
2016 Aug 05,2.88
2016 Aug 12,2.77
2016 Aug 19,2.73
2016 Aug 26,2.82
2016 Sep 02,2.94
2016 Sep 09,2.87
2016 Sep 16,3.02
2016 Sep 23,3.11
2016 Sep 30,3.01
2016 Oct 07,2.91
2016 Oct 14,3.17
2016 Oct 21,3.14
2016 Oct 28,2.72
2016 Nov 04,2.50
2016 Nov 11,2.22
2016 Nov 18,2.44
2016 Nov 25,2.76
2016 Dec 02,3.21
2016 Dec 09,3.69
2016 Dec 16,3.57
2016 Dec 23,3.51
2016 Dec 30,3.69
2017 Jan 06,3.47
2017 Jan 13,3.27
2017 Jan 20,3.29
2017 Jan 27,3.27
2017 Feb 03,3.12
2017 Feb 10,3.04
2017 Feb 17,2.87
2017 Feb 24,2.62
2017 Mar 03,2.52
2017 Mar 10,2.75
2017 Mar 17,2.96
2017 Mar 24,2.99
2017 Mar 31,3.03
2017 Apr 07,3.18
2017 Apr 14,3.05
2017 Apr 21,3.10
2017 Apr 28,3.09
2017 May 05,3.14
2017 May 12,3.12
2017 May 19,3.21
2017 May 26,3.18
2017 Jun 02,3.03
2017 Jun 09,2.98
2017 Jun 16,3.03
2017 Jun 23,2.89
2017 Jun 30,3.01
2017 Jul 07,2.95
2017 Jul 14,2.96
2017 Jul 21,3.09
2017 Jul 28,2.96
2017 Aug 04,2.80
2017 Aug 11,2.85
2017 Aug 18,2.95
2017 Aug 25,2.97
2017 Sep 01,2.93
2017 Sep 08,2.91
2017 Sep 15,2.96
2017 Sep 22,3.09
2017 Sep 29,2.96
2017 Oct 06,2.84
2017 Oct 13,2.92
2017 Oct 20,2.84
2017 Oct 27,2.91
2017 Nov 03,2.78
2017 Nov 10,3.12
2017 Nov 17,3.10
2017 Nov 24,3.05
2017 Dec 01,2.94
2017 Dec 08,2.84
2017 Dec 15,2.77
2017 Dec 22,2.69
2017 Dec 29,3.03
2018 Jan 05,5.71
2018 Jan 12,3.24
2018 Jan 19,4.12
2018 Jan 26,3.43
2018 Feb 02,3.30
2018 Feb 09,2.75
2018 Feb 16,2.54
2018 Feb 23,2.62
2018 Mar 02,2.64
2018 Mar 09,2.74
2018 Mar 16,2.71
2018 Mar 23,2.66
2018 Mar 30,2.67
2018 Apr 06,2.79
2018 Apr 13,2.78
2018 Apr 20,2.83
2018 Apr 27,2.80
2018 May 04,2.75
2018 May 11,2.76
2018 May 18,2.80
2018 May 25,2.83
2018 Jun 01,2.88
2018 Jun 08,2.92
2018 Jun 15,2.99
2018 Jun 22,2.99
2018 Jun 29,2.98
2018 Jul 06,2.91
2018 Jul 13,2.89
2018 Jul 20,2.78
2018 Jul 27,2.79
2018 Aug 03,2.80
2018 Aug 10,2.96
2018 Aug 17,3.00
2018 Aug 24,3.01
2018 Aug 31,2.97
2018 Sep 07,2.94
2018 Sep 14,2.93
2018 Sep 21,3.03
2018 Sep 28,3.06
2018 Oct 05,3.23
2018 Oct 12,3.30
2018 Oct 19,3.26
2018 Oct 26,3.32
2018 Nov 02,3.28
2018 Nov 09,3.58
2018 Nov 16,4.23
2018 Nov 23,4.67
2018 Nov 30,4.43
2018 Dec 07,4.49
2018 Dec 14,4.38
2018 Dec 21,3.73
2018 Dec 28,3.26
2019 Jan 04,2.92
2019 Jan 11,2.89
2019 Jan 18,3.50
2019 Jan 25,3.19
2019 Feb 01,2.90
2019 Feb 08,2.59
2019 Feb 15,2.65
2019 Feb 22,2.71
2019 Mar 01,2.91
2019 Mar 08,3.28
2019 Mar 15,2.89
2019 Mar 22,2.86
2019 Mar 29,2.71
2019 Apr 05,2.70
2019 Apr 12,2.72
2019 Apr 19,2.62
2019 Apr 26,2.56
2019 May 03,2.59
2019 May 10,2.60
2019 May 17,2.67
2019 May 24,2.66
2019 May 31,2.66
2019 Jun 07,2.45
2019 Jun 14,2.41
2019 Jun 21,2.40
2019 Jun 28,2.34
2019 Jul 05,2.31
2019 Jul 12,2.47
2019 Jul 19,2.44
2019 Jul 26,2.30
2019 Aug 02,2.24
2019 Aug 09,2.11
2019 Aug 16,2.21
2019 Aug 23,2.27
2019 Aug 30,2.28
2019 Sep 06,2.46
2019 Sep 13,2.64
2019 Sep 20,2.63
2019 Sep 27,2.52
2019 Oct 04,2.33
2019 Oct 11,2.26
2019 Oct 18,2.25
2019 Oct 25,2.25
2019 Nov 01,2.62
2019 Nov 08,2.82
2019 Nov 15,2.73
2019 Nov 22,2.58
2019 Nov 29,2.49
2019 Dec 06,2.38
2019 Dec 13,2.24
2019 Dec 20,2.28
2019 Dec 27,2.05
2020 Jan 03,2.07
2020 Jan 10,2.10
2020 Jan 17,2.06
2020 Jan 24,1.93
2020 Jan 31,1.95
2020 Feb 07,1.89
2020 Feb 14,1.90
2020 Feb 21,2.00
2020 Feb 28,1.88
2020 Mar 06,1.80
2020 Mar 13,1.87
